Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
AAPL,period=5;threshold=1.0,0.3482,0.2546,0.3317,205,0.53
ABBV,period=10;threshold=2.0,0.6434,0.1646,0.3684,76,0.77
ABNB,period=5;threshold=1.0,0.1778,0.4835,0.3139,223,0.20
ABT,period=5;threshold=2.0,0.4895,0.2045,0.3282,131,0.64
ACGL,period=20;threshold=2.0,0.8127,0.2586,0.3846,39,1.40
ACN,period=10;threshold=1.0,0.3714,0.2962,0.3304,115,0.52
ADBE,period=5;threshold=2.0,0.5055,0.3315,0.3077,130,0.94
ADI,period=5;threshold=2.0,1.3962,0.1349,0.3885,157,4.44
ADM,period=10;threshold=1.5,0.1819,0.3958,0.3529,102,0.24
ADP,period=5;threshold=1.0,0.5460,0.1988,0.3463,205,0.73
ADSK,period=5;threshold=1.5,0.7340,0.3813,0.3512,205,1.83
AEE,period=20;threshold=1.5,0.4786,0.2188,0.3667,60,0.57
AEP,period=20;threshold=2.0,0.5263,0.1916,0.3333,48,0.63
AES,period=10;threshold=1.5,0.0910,0.6169,0.3367,98,0.08
AFL,period=20;threshold=2.0,1.1504,0.1668,0.4167,48,1.89
AIG,period=5;threshold=1.5,1.2863,0.2398,0.3850,200,4.02
AIZ,period=5;threshold=1.5,0.7433,0.2362,0.3351,185,1.26
AJG,period=15;threshold=1.0,1.0546,0.1357,0.3684,95,1.41
AKAM,period=20;threshold=2.0,0.3633,0.3129,0.3256,43,0.52
ALB,period=5;threshold=1.0,0.1839,0.5964,0.2947,207,0.19
ALGN,period=5;threshold=1.5,0.2008,0.6852,0.3184,179,0.21
ALLE,period=10;threshold=1.0,0.8284,0.1391,0.3768,138,1.30
ALL,period=15;threshold=2.0,0.6565,0.2325,0.3667,60,0.98
AMAT,period=5;threshold=2.0,1.0015,0.2358,0.3706,143,3.53
AMCR,period=5;threshold=1.0,0.7866,0.1511,0.3333,252,1.28
AMD,period=5;threshold=2.0,0.8765,0.4247,0.3529,153,3.52
AME,period=10;threshold=2.0,1.0353,0.1509,0.4026,77,1.57
AMGN,period=20;threshold=1.5,0.2860,0.2494,0.3793,58,0.36
AMP,period=5;threshold=2.0,1.2290,0.1655,0.3826,149,3.80
AMT,period=5;threshold=1.0,-0.0531,0.4348,0.3142,226,-0.03
AMZN,period=5;threshold=1.5,0.8572,0.3608,0.3805,205,2.33
ANET,period=10;threshold=1.5,0.8955,0.2891,0.3945,109,2.71
ANSS,period=10;threshold=1.5,0.6755,0.3158,0.3652,115,1.37
AON,period=15;threshold=1.5,0.4736,0.2744,0.3485,66,0.62
AOS,period=20;threshold=2.0,0.7155,0.3094,0.3800,50,1.17
APA,period=20;threshold=2.0,0.6762,0.4076,0.2857,49,2.00
APD,period=20;threshold=2.0,0.3320,0.2733,0.4091,44,0.44
APH,period=5;threshold=2.0,0.3995,0.5385,0.3577,137,0.63
APO,period=5;threshold=1.0,1.0349,0.2094,0.3777,233,3.32
APTV,period=5;threshold=1.5,0.7523,0.4234,0.3385,192,2.15
ARE,period=5;threshold=1.0,0.1076,0.4298,0.3402,244,0.15
ATO,period=15;threshold=2.0,0.8665,0.1181,0.3906,64,1.09
AVB,period=5;threshold=1.5,0.6001,0.3280,0.3333,189,0.86
AVGO,period=5;threshold=2.0,1.1108,0.2269,0.3759,141,3.29
AVY,period=10;threshold=1.0,0.8587,0.2563,0.3465,127,1.48
AWK,period=15;threshold=2.0,0.1005,0.2452,0.3167,60,0.16
AXON,period=10;threshold=1.5,0.7526,0.3869,0.3737,99,2.46
AXP,period=15;threshold=2.0,1.0961,0.2183,0.4035,57,3.02
AZO,period=20;threshold=1.0,0.8501,0.1762,0.4118,68,1.17
A,period=15;threshold=1.5,0.4661,0.2260,0.3662,71,0.66
BAC,period=5;threshold=1.5,0.5005,0.3439,0.3523,193,0.83
BALL,period=5;threshold=1.0,0.4979,0.2413,0.3419,234,0.85
BAX,period=5;threshold=1.0,0.0321,0.2102,0.3174,230,0.08
BA,period=5;threshold=1.0,0.3444,0.3434,0.3064,235,0.62
BBY,period=20;threshold=1.5,0.5390,0.3443,0.3559,59,0.98
BDX,period=10;threshold=1.0,0.5468,0.1698,0.3769,130,0.65
BEN,period=5;threshold=1.0,0.4566,0.2582,0.3205,234,0.81
BF.B,period=5;threshold=1.0,0.1434,0.3224,0.3289,228,0.20
BG,period=20;threshold=1.0,0.5784,0.2786,0.3625,80,0.91
BIIB,period=10;threshold=2.0,0.4464,0.3781,0.2750,80,1.12
BKNG,period=20;threshold=2.0,1.0396,0.2082,0.4043,47,2.60
BKR,period=5;threshold=1.0,0.5461,0.3780,0.3467,225,1.13
BK,period=15;threshold=2.0,0.6729,0.2969,0.4118,51,1.11
BLDR,period=5;threshold=1.5,1.0441,0.3112,0.3989,183,4.54
BLK,period=5;threshold=2.0,0.4894,0.3564,0.3504,137,0.71
BMY,period=10;threshold=1.0,0.4548,0.2115,0.3561,132,0.55
BRK.B,period=5;threshold=2.0,0.7378,0.1849,0.3806,134,0.80
BRO,period=10;threshold=1.5,0.8664,0.2438,0.3958,96,1.21
BR,period=5;threshold=1.0,0.8860,0.2234,0.3644,225,1.24
BSX,period=10;threshold=2.0,1.4157,0.1536,0.4578,83,2.60
BWA,period=5;threshold=1.5,1.0988,0.1779,0.3707,205,3.39
BXP,period=5;threshold=1.5,0.6000,0.3529,0.3692,195,1.26
BX,period=5;threshold=1.5,0.9346,0.2296,0.3583,187,2.79
CAG,period=5;threshold=1.5,0.3080,0.2942,0.3371,178,0.39
CAH,period=15;threshold=1.5,0.8913,0.1604,0.3750,72,1.27
CARR,period=10;threshold=1.5,1.0170,0.1942,0.3929,112,2.22
CAT,period=15;threshold=2.0,1.1008,0.2000,0.3860,57,2.47
CBOE,period=15;threshold=1.0,1.0540,0.2197,0.4135,104,1.73
CBRE,period=5;threshold=1.0,0.7083,0.2337,0.3275,229,1.56
CB,period=20;threshold=2.0,0.9619,0.1368,0.4167,48,1.27
CCI,period=20;threshold=2.0,-0.0155,0.3951,0.2826,46,0.01
CCL,period=5;threshold=1.5,0.4834,0.6391,0.3503,177,1.29
CDNS,period=5;threshold=2.0,0.8011,0.2812,0.3525,139,1.96
CDW,period=15;threshold=1.5,0.8282,0.2520,0.3827,81,1.51
CEG,period=5;threshold=1.0,0.6578,0.2739,0.3408,179,1.27
CE,period=10;threshold=1.0,0.2034,0.5824,0.3478,138,0.27
CFG,period=5;threshold=2.0,0.7632,0.3725,0.3401,147,2.09
CF,period=10;threshold=1.0,0.9288,0.2153,0.3431,137,2.45
CHD,period=5;threshold=1.5,0.8001,0.2758,0.3878,196,0.98
CHRW,period=5;threshold=1.0,0.8840,0.2037,0.3711,256,1.77
CHTR,period=5;threshold=1.0,0.1493,0.5586,0.3182,220,0.19
CINF,period=5;threshold=1.0,0.6018,0.3240,0.3480,227,1.03
CI,period=10;threshold=1.5,0.7981,0.2172,0.3889,108,1.48
CLX,period=5;threshold=2.0,0.6758,0.2464,0.4000,145,1.04
CL,period=5;threshold=1.0,0.3560,0.1853,0.3500,220,0.39
CMCSA,period=10;threshold=1.5,0.5740,0.3741,0.3545,110,0.89
CME,period=20;threshold=2.0,0.5338,0.1747,0.3810,42,0.68
CMG,period=5;threshold=2.0,0.5565,0.2813,0.3650,137,1.07
CMI,period=5;threshold=1.5,0.9102,0.2051,0.3369,187,1.62
CMS,period=20;threshold=1.5,0.5321,0.2402,0.3548,62,0.63
CNC,period=20;threshold=2.0,0.5986,0.3016,0.3721,43,1.14
CNP,period=20;threshold=1.5,0.7073,0.1736,0.3793,58,0.91
COF,period=5;threshold=2.0,0.8965,0.2345,0.3423,149,2.74
COO,period=10;threshold=1.0,-0.1958,0.7914,0.3150,127,-0.63
COP,period=5;threshold=2.0,0.7107,0.3139,0.3546,141,1.67
COR,period=20;threshold=1.5,0.9880,0.1376,0.4000,60,1.24
COST,period=5;threshold=2.0,0.3389,0.3060,0.3419,117,0.42
CPAY,period=5;threshold=2.0,0.8670,0.3023,0.3677,155,2.11
CPB,period=10;threshold=2.0,0.5292,0.2452,0.3571,84,0.68
CPRT,period=10;threshold=1.5,0.0990,0.5371,0.3368,95,0.00
CPT,period=10;threshold=1.0,0.4586,0.3612,0.3692,130,0.62
CRL,period=15;threshold=2.0,0.4299,0.3379,0.3103,58,0.74
CRM,period=20;threshold=1.5,0.3509,0.4709,0.3469,49,0.55
CRWD,period=10;threshold=1.0,0.6470,0.4226,0.3780,127,1.98
CSCO,period=5;threshold=2.0,1.1012,0.1064,0.3490,149,1.52
CSGP,period=15;threshold=2.0,0.7293,0.2925,0.3636,66,1.66
CSX,period=5;threshold=1.0,0.5674,0.2692,0.3617,235,0.80
CTAS,period=15;threshold=1.0,1.1883,0.2245,0.4286,105,2.31
CTRA,period=10;threshold=2.0,0.9085,0.2224,0.3187,91,2.41
CTSH,period=5;threshold=1.5,0.8493,0.2220,0.3750,192,1.50
CTVA,period=20;threshold=1.5,1.2582,0.1546,0.3968,63,3.04
CVS,period=20;threshold=2.0,0.1924,0.3972,0.3043,46,0.26
CVX,period=20;threshold=1.0,0.5386,0.2330,0.3494,83,0.80
CZR,period=5;threshold=1.5,0.7041,0.5395,0.3514,185,3.10
C,period=5;threshold=2.0,0.3657,0.3580,0.3383,133,0.60
DAL,period=20;threshold=2.0,0.6459,0.4097,0.3556,45,1.64
DAY,period=10;threshold=1.0,0.6406,0.4158,0.3407,135,1.59
DD,period=5;threshold=1.0,0.8133,0.2792,0.3568,227,1.61
DECK,period=5;threshold=2.0,0.9319,0.3494,0.3759,133,3.17
DELL,period=10;threshold=1.0,0.9313,0.3595,0.3985,133,2.93
DE,period=15;threshold=2.0,1.0162,0.2705,0.3729,59,2.25
DFS,period=10;threshold=1.0,0.9712,0.2201,0.3650,137,2.76
DGX,period=5;threshold=2.0,0.4825,0.2376,0.3529,136,0.57
DG,period=10;threshold=1.5,0.0989,0.5524,0.3558,104,0.12
DHI,period=10;threshold=2.0,0.9134,0.2519,0.4000,80,2.33
DHR,period=5;threshold=2.0,0.5620,0.2151,0.3493,146,0.86
DIS,period=15;threshold=1.5,0.2171,0.3238,0.3151,73,0.30
DLR,period=15;threshold=1.5,0.3704,0.3438,0.3636,77,0.54
DLTR,period=10;threshold=2.0,0.1333,0.4895,0.3288,73,0.15
DOC,period=5;threshold=2.0,0.4060,0.4374,0.3380,142,0.65
DOV,period=20;threshold=1.0,0.6368,0.2743,0.3288,73,0.86
DOW,period=5;threshold=1.0,0.5814,0.3491,0.3712,229,1.02
DPZ,period=5;threshold=1.0,0.2418,0.3817,0.3575,221,0.35
DRI,period=5;threshold=1.0,1.2464,0.1782,0.3636,231,4.41
DTE,period=20;threshold=1.0,0.4734,0.2468,0.3659,82,0.59
DUK,period=20;threshold=2.0,0.5795,0.2247,0.4000,50,0.65
DVA,period=10;threshold=2.0,0.6700,0.3242,0.4157,89,1.25
DVN,period=20;threshold=2.0,0.8132,0.4063,0.2619,42,2.48
DXCM,period=5;threshold=2.0,0.1755,0.5868,0.3525,139,0.13
D,period=15;threshold=2.0,0.1929,0.3963,0.3175,63,0.26
EA,period=5;threshold=2.0,0.4696,0.2135,0.3400,150,0.64
EBAY,period=10;threshold=1.0,0.5488,0.2423,0.3413,126,0.97
ECL,period=20;threshold=1.5,0.7744,0.2981,0.4000,60,1.24
ED,period=20;threshold=1.5,0.4327,0.1930,0.3710,62,0.49
EFX,period=5;threshold=2.0,0.3052,0.2561,0.3134,134,0.46
EG,period=20;threshold=2.0,1.1184,0.1325,0.4400,50,2.18
EIX,period=5;threshold=1.0,0.1346,0.3764,0.3500,220,0.19
ELV,period=20;threshold=2.0,1.0988,0.3148,0.4464,56,2.18
EL,period=5;threshold=1.0,-0.0379,0.5948,0.3056,216,-0.12
EMN,period=5;threshold=1.0,0.5852,0.3358,0.3491,232,1.00
EMR,period=20;threshold=1.5,1.0018,0.1893,0.4127,63,1.78
ENPH,period=5;threshold=2.0,0.4845,0.6906,0.3243,148,1.33
EOG,period=15;threshold=2.0,0.5601,0.2965,0.3091,55,1.15
EPAM,period=5;threshold=2.0,0.2351,0.7053,0.3333,141,0.23
EQIX,period=5;threshold=2.0,0.4953,0.3385,0.3537,147,0.77
