Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
AAPL,period=30;stdDevMultiplier=2.0,0.4529,0.2038,0.4000,25,0.68
ABBV,period=10;stdDevMultiplier=1.5,0.5403,0.1319,0.3804,92,0.64
ABNB,period=10;stdDevMultiplier=2.5,0.2259,0.2995,0.2857,14,0.31
ABT,period=10;stdDevMultiplier=2.5,0.6617,0.2194,0.3077,13,0.87
ACGL,period=30;stdDevMultiplier=2.5,1.0364,0.2296,0.4667,15,2.03
ACN,period=30;stdDevMultiplier=2.5,1.0347,0.1871,0.4286,14,1.44
ADBE,period=20;stdDevMultiplier=2.0,0.2310,0.4924,0.3250,40,0.33
ADI,period=20;stdDevMultiplier=2.0,1.0772,0.1779,0.4500,40,2.47
ADM,period=10;stdDevMultiplier=2.0,0.2467,0.3069,0.3448,58,0.34
ADP,period=30;stdDevMultiplier=2.5,1.0135,0.1100,0.4500,20,1.19
ADSK,period=30;stdDevMultiplier=2.0,0.8017,0.3684,0.4286,35,1.74
AEE,period=20;stdDevMultiplier=1.5,0.4130,0.2188,0.3621,58,0.49
AEP,period=20;stdDevMultiplier=2.0,0.4273,0.1827,0.3421,38,0.52
AES,period=10;stdDevMultiplier=2.0,-0.0185,0.5459,0.2353,34,-0.06
AFL,period=10;stdDevMultiplier=2.0,1.2881,0.1468,0.3793,58,2.53
AIG,period=30;stdDevMultiplier=2.5,0.8996,0.2694,0.5000,14,1.88
AIZ,period=10;stdDevMultiplier=2.0,0.6730,0.3155,0.3617,47,1.03
AJG,period=10;stdDevMultiplier=2.0,0.9334,0.1689,0.4000,50,1.22
AKAM,period=20;stdDevMultiplier=2.0,0.4319,0.3597,0.3514,37,0.64
ALB,period=10;stdDevMultiplier=1.5,0.3837,0.5424,0.3053,95,0.75
ALGN,period=10;stdDevMultiplier=1.5,0.0090,0.6123,0.3196,97,-0.14
ALLE,period=10;stdDevMultiplier=1.5,0.8970,0.1445,0.3750,104,1.40
ALL,period=10;stdDevMultiplier=2.5,0.8171,0.2081,0.4545,11,1.56
AMAT,period=10;stdDevMultiplier=1.5,0.9416,0.2856,0.3689,103,3.10
AMCR,period=10;stdDevMultiplier=1.5,0.6137,0.2311,0.3131,99,0.91
AMD,period=30;stdDevMultiplier=2.5,0.7654,0.3609,0.4000,10,1.79
AME,period=30;stdDevMultiplier=2.5,0.8311,0.1391,0.4118,17,1.03
AMGN,period=30;stdDevMultiplier=1.5,0.7053,0.1776,0.3636,44,0.94
AMP,period=10;stdDevMultiplier=2.0,1.0747,0.2247,0.4364,55,2.40
AMT,period=30;stdDevMultiplier=2.5,0.1737,0.3757,0.3125,16,0.24
AMZN,period=10;stdDevMultiplier=1.5,0.3313,0.4976,0.3814,97,0.53
ANET,period=30;stdDevMultiplier=2.5,1.1822,0.3842,0.4375,16,4.54
ANSS,period=10;stdDevMultiplier=1.5,0.7977,0.3296,0.3717,113,1.77
AON,period=30;stdDevMultiplier=2.5,0.6302,0.1493,0.5000,16,0.87
AOS,period=10;stdDevMultiplier=2.0,1.1958,0.2806,0.4412,68,2.95
APA,period=20;stdDevMultiplier=1.5,0.5611,0.4822,0.2712,59,1.46
APD,period=30;stdDevMultiplier=2.0,0.8619,0.2730,0.3889,36,1.33
APH,period=10;stdDevMultiplier=1.5,0.3623,0.5280,0.3918,97,0.53
APO,period=20;stdDevMultiplier=2.5,0.8762,0.3328,0.3889,18,1.98
APTV,period=10;stdDevMultiplier=2.0,0.4296,0.3983,0.2941,51,0.85
ARE,period=20;stdDevMultiplier=2.5,-0.0049,0.4189,0.3333,12,0.04
ATO,period=20;stdDevMultiplier=2.0,0.7688,0.1317,0.3250,40,0.92
AVB,period=20;stdDevMultiplier=2.0,0.6244,0.3399,0.3571,42,0.92
AVGO,period=10;stdDevMultiplier=2.5,1.0066,0.2051,0.5000,14,2.76
AVY,period=20;stdDevMultiplier=1.5,0.4971,0.2316,0.3793,58,0.67
AWK,period=20;stdDevMultiplier=2.5,0.0765,0.2586,0.1875,16,0.13
AXON,period=20;stdDevMultiplier=1.5,0.6450,0.4631,0.3860,57,1.71
AXP,period=10;stdDevMultiplier=2.0,0.7932,0.2933,0.3830,47,1.86
AZO,period=30;stdDevMultiplier=2.0,1.2425,0.1308,0.4706,34,2.03
A,period=10;stdDevMultiplier=1.5,0.2930,0.2807,0.3371,89,0.40
BAC,period=20;stdDevMultiplier=2.5,0.5344,0.1996,0.3600,25,0.77
BALL,period=10;stdDevMultiplier=1.5,0.2983,0.2505,0.3043,92,0.44
BAX,period=10;stdDevMultiplier=2.5,-0.0897,0.4679,0.3182,22,-0.09
BA,period=20;stdDevMultiplier=1.5,0.1898,0.4546,0.3818,55,0.24
BBY,period=20;stdDevMultiplier=2.5,0.5676,0.2645,0.4000,15,0.95
BDX,period=10;stdDevMultiplier=1.5,0.4645,0.1678,0.3871,93,0.55
BEN,period=30;stdDevMultiplier=1.5,0.4499,0.3998,0.3077,39,0.78
BF.B,period=20;stdDevMultiplier=2.5,0.4718,0.2351,0.4444,18,0.66
BG,period=10;stdDevMultiplier=2.0,0.4894,0.3819,0.3478,46,0.81
BIIB,period=10;stdDevMultiplier=2.0,0.4528,0.3928,0.2692,52,1.05
BKNG,period=30;stdDevMultiplier=2.0,1.0782,0.1635,0.4667,30,3.03
BKR,period=30;stdDevMultiplier=1.5,0.4225,0.3291,0.3243,37,0.70
BK,period=20;stdDevMultiplier=2.0,0.7369,0.2540,0.4211,38,1.22
BLDR,period=20;stdDevMultiplier=2.0,1.1192,0.2607,0.4651,43,4.23
BLK,period=10;stdDevMultiplier=2.0,0.4700,0.3631,0.3488,43,0.62
BMY,period=10;stdDevMultiplier=2.0,0.4786,0.2361,0.2963,54,0.59
BRK.B,period=10;stdDevMultiplier=2.0,1.0027,0.1577,0.4000,50,1.12
BRO,period=10;stdDevMultiplier=1.5,0.7619,0.2395,0.3913,92,1.13
BR,period=20;stdDevMultiplier=2.5,1.1526,0.1167,0.4762,21,1.50
BSX,period=10;stdDevMultiplier=1.5,1.2644,0.1684,0.4234,111,2.42
BWA,period=20;stdDevMultiplier=1.5,0.4155,0.2459,0.2632,57,0.69
BXP,period=10;stdDevMultiplier=1.5,0.7181,0.3698,0.3874,111,1.80
BX,period=10;stdDevMultiplier=2.5,1.2002,0.2227,0.4667,15,2.46
CAG,period=10;stdDevMultiplier=2.0,0.2250,0.2302,0.3000,50,0.30
