Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
AAPL,period=27.0;stdDevMultiplier=2.0,0.7755,0.2166,0.4242,33,1.35
ABBV,period=12.0;stdDevMultiplier=1.5,0.7825,0.1379,0.3810,84,0.97
ABNB,period=15.0;stdDevMultiplier=3.0,0.5276,0.2678,0.5000,6,0.79
ABT,period=11.0;stdDevMultiplier=2.75,0.7489,0.1727,0.4000,5,0.71
ACGL,period=28.0;stdDevMultiplier=2.25,1.1728,0.2246,0.4000,25,2.24
ACN,period=27.0;stdDevMultiplier=2.5,1.1190,0.1871,0.5000,16,1.75
ADBE,period=16.0;stdDevMultiplier=3.0,0.4299,0.3084,0.5000,4,0.64
ADI,period=5.0;stdDevMultiplier=1.5,1.3542,0.2181,0.3988,173,4.24
ADM,period=16.0;stdDevMultiplier=2.5,0.7409,0.2383,0.3333,21,1.01
ADP,period=16.0;stdDevMultiplier=2.25,1.2026,0.1451,0.4242,33,1.47
ADSK,period=5.0;stdDevMultiplier=1.25,0.9551,0.2919,0.3656,227,2.75
AEE,period=26.0;stdDevMultiplier=1.5,0.6702,0.1881,0.3846,52,0.79
AEP,period=13.0;stdDevMultiplier=2.25,0.8199,0.1609,0.4103,39,1.17
AES,period=8.0;stdDevMultiplier=1.75,0.3500,0.5490,0.3000,80,0.60
AFL,period=22.0;stdDevMultiplier=2.0,1.5044,0.1376,0.4545,44,2.65
AIG,period=7.0;stdDevMultiplier=1.25,1.3343,0.2420,0.4051,158,4.28
AIZ,period=9.0;stdDevMultiplier=2.0,0.9729,0.2603,0.4200,50,1.53
AJG,period=7.0;stdDevMultiplier=2.0,1.5429,0.1152,0.4151,53,2.46
AKAM,period=13.0;stdDevMultiplier=2.0,0.6698,0.2392,0.3585,53,1.09
ALB,period=8.0;stdDevMultiplier=1.75,0.6637,0.5799,0.3187,91,2.03
ALGN,period=30.0;stdDevMultiplier=4.25,0.4440,0.0527,0.5000,2,0.35
ALLE,period=10.0;stdDevMultiplier=1.5,0.8970,0.1445,0.3750,104,1.40
ALL,period=16.0;stdDevMultiplier=2.5,1.0162,0.2230,0.3929,28,1.80
AMAT,period=23.0;stdDevMultiplier=2.75,1.2382,0.1311,0.4615,13,2.45
AMCR,period=7.0;stdDevMultiplier=1.0,0.7901,0.1219,0.3299,194,1.21
AMD,period=6.0;stdDevMultiplier=1.5,0.9257,0.4247,0.3427,143,3.94
AME,period=11.0;stdDevMultiplier=1.75,1.1014,0.1899,0.3973,73,1.78
AMGN,period=30.0;stdDevMultiplier=1.5,0.7053,0.1776,0.3636,44,0.94
AMP,period=7.0;stdDevMultiplier=1.75,1.2262,0.1655,0.3711,97,3.51
AMT,period=16.0;stdDevMultiplier=2.5,0.4793,0.1889,0.2778,18,0.65
AMZN,period=5.0;stdDevMultiplier=1.5,1.0028,0.3527,0.3898,177,2.96
ANET,period=16.0;stdDevMultiplier=2.5,1.6066,0.1008,0.5000,20,5.75
ANSS,period=5.0;stdDevMultiplier=1.75,0.7994,0.3084,0.3505,97,1.75
AON,period=17.0;stdDevMultiplier=2.5,0.7275,0.2551,0.3913,23,1.08
AOS,period=10.0;stdDevMultiplier=2.0,1.1958,0.2806,0.4412,68,2.95
APA,period=8.0;stdDevMultiplier=2.0,0.8435,0.3863,0.3158,57,3.69
APD,period=29.0;stdDevMultiplier=2.0,0.8683,0.2885,0.3889,36,1.33
APH,period=24.0;stdDevMultiplier=2.5,0.8058,0.1707,0.4118,17,1.06
APO,period=24.0;stdDevMultiplier=3.25,1.2833,0.2087,0.5000,6,2.76
APTV,period=6.0;stdDevMultiplier=1.25,0.6433,0.4182,0.3409,176,1.62
ARE,period=28.0;stdDevMultiplier=2.75,0.2800,0.3525,0.3750,8,0.40
ATO,period=22.0;stdDevMultiplier=1.5,0.9827,0.1343,0.3667,60,1.25
AVB,period=8.0;stdDevMultiplier=1.25,0.7159,0.2869,0.3358,137,1.13
AVGO,period=8.0;stdDevMultiplier=1.0,1.2352,0.2155,0.4061,165,4.28
AVY,period=7.0;stdDevMultiplier=1.25,0.9244,0.2075,0.3448,145,1.67
AWK,period=12.0;stdDevMultiplier=2.0,0.4651,0.1967,0.3333,60,0.61
