Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
AWK,overboughtThreshold=70.0;oversoldThreshold=30.0;period=23.0,0.8734,0.1903,0.4583,24,1.24
AXON,overboughtThreshold=85.0;oversoldThreshold=35.0;period=25.0,1.3461,0.5640,0.5000,16,11.96
AXP,overboughtThreshold=80.0;oversoldThreshold=20.0;period=13.0,1.1397,0.1105,0.3871,31,2.15
AZO,overboughtThreshold=75.0;oversoldThreshold=35.0;period=23.0,1.7977,0.1195,0.4483,29,3.81
A,overboughtThreshold=85.0;oversoldThreshold=35.0;period=7.0,0.5428,0.3058,0.3714,105,0.93
BAC,overboughtThreshold=75.0;oversoldThreshold=35.0;period=23.0,0.7033,0.3898,0.3478,23,1.48
BALL,overboughtThreshold=65.0;oversoldThreshold=15.0;period=11.0,0.5699,0.2180,0.3571,42,0.66
BAX,overboughtThreshold=65.0;oversoldThreshold=15.0;period=7.0,0.4701,0.2887,0.3556,90,0.59
BA,overboughtThreshold=65.0;oversoldThreshold=30.0;period=17.0,0.5386,0.3903,0.3659,41,1.06
BBY,overboughtThreshold=65.0;oversoldThreshold=15.0;period=11.0,0.8421,0.1650,0.3725,51,1.32
BDX,overboughtThreshold=65.0;oversoldThreshold=30.0;period=9.0,0.6145,0.1618,0.3608,97,0.71
BEN,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.4612,0.3291,0.2902,193,0.83
BF.B,overboughtThreshold=65.0;oversoldThreshold=15.0;period=23.0,0.0684,0.1113,0.3333,6,0.15
BG,overboughtThreshold=80.0;oversoldThreshold=25.0;period=7.0,0.6172,0.2580,0.3409,88,1.05
BIIB,overboughtThreshold=75.0;oversoldThreshold=25.0;period=7.0,0.5978,0.3464,0.2885,104,1.92
BKNG,overboughtThreshold=70.0;oversoldThreshold=30.0;period=19.0,1.7715,0.1306,0.4706,34,6.32
BKR,overboughtThreshold=75.0;oversoldThreshold=20.0;period=11.0,1.0339,0.2221,0.4043,47,2.45
BK,overboughtThreshold=80.0;oversoldThreshold=35.0;period=9.0,0.9981,0.3225,0.3780,82,2.37
BLDR,overboughtThreshold=80.0;oversoldThreshold=15.0;period=13.0,1.0802,0.1590,0.4762,21,1.67
BLK,overboughtThreshold=85.0;oversoldThreshold=35.0;period=9.0,0.6444,0.4087,0.3913,69,1.15
BMY,overboughtThreshold=65.0;oversoldThreshold=35.0;period=9.0,0.5890,0.1942,0.3704,108,0.75
BRK.B,overboughtThreshold=80.0;oversoldThreshold=20.0;period=11.0,1.3440,0.1924,0.4583,48,1.69
BRO,overboughtThreshold=85.0;oversoldThreshold=25.0;period=7.0,1.2611,0.2301,0.4048,84,2.28
BR,overboughtThreshold=70.0;oversoldThreshold=35.0;period=15.0,0.8533,0.2288,0.3750,48,1.23
BSX,overboughtThreshold=85.0;oversoldThreshold=20.0;period=5.0,1.5099,0.1540,0.3916,143,3.12
BWA,overboughtThreshold=65.0;oversoldThreshold=20.0;period=5.0,0.9260,0.2350,0.3669,169,2.01
BXP,overboughtThreshold=70.0;oversoldThreshold=25.0;period=5.0,0.9616,0.2868,0.3757,181,2.64
BX,overboughtThreshold=80.0;oversoldThreshold=30.0;period=11.0,0.7671,0.3997,0.3774,53,2.12
