Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
IFF,overboughtThreshold=75.0;oversoldThreshold=15.0;period=5.0,0.4320,0.4868,0.3667,150,0.72
INCY,overboughtThreshold=65.0;oversoldThreshold=15.0;period=9.0,0.6037,0.1404,0.3281,64,0.61
INTC,overboughtThreshold=65.0;oversoldThreshold=20.0;period=23.0,0.8921,0.1429,0.5000,20,1.46
INTU,overboughtThreshold=70.0;oversoldThreshold=20.0;period=7.0,1.1828,0.1914,0.4270,89,2.89
INVH,overboughtThreshold=75.0;oversoldThreshold=35.0;period=5.0,0.5619,0.3411,0.3529,170,0.88
IPG,overboughtThreshold=75.0;oversoldThreshold=35.0;period=5.0,1.0808,0.2456,0.3333,183,3.23
IP,overboughtThreshold=80.0;oversoldThreshold=30.0;period=15.0,0.8273,0.3933,0.2941,34,1.75
IQV,overboughtThreshold=85.0;oversoldThreshold=35.0;period=5.0,0.7413,0.2340,0.3270,159,1.61
IRM,overboughtThreshold=75.0;oversoldThreshold=30.0;period=19.0,1.5135,0.2562,0.4857,35,4.04
IR,overboughtThreshold=70.0;oversoldThreshold=35.0;period=21.0,1.1536,0.2544,0.4545,33,2.62
ISRG,overboughtThreshold=70.0;oversoldThreshold=25.0;period=15.0,0.5507,0.2176,0.3462,26,0.83
ITW,overboughtThreshold=80.0;oversoldThreshold=30.0;period=5.0,0.9273,0.1344,0.3758,157,1.35
IT,overboughtThreshold=80.0;oversoldThreshold=30.0;period=5.0,1.1298,0.2576,0.3727,161,3.09
IVZ,overboughtThreshold=85.0;oversoldThreshold=20.0;period=5.0,0.6635,0.3601,0.3459,133,1.66
JBHT,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,0.8196,0.2432,0.3654,208,1.51
JBL,overboughtThreshold=70.0;oversoldThreshold=35.0;period=13.0,1.1916,0.2132,0.4262,61,3.80
JCI,overboughtThreshold=80.0;oversoldThreshold=35.0;period=13.0,0.9633,0.3421,0.3830,47,2.21
JKHY,overboughtThreshold=65.0;oversoldThreshold=35.0;period=19.0,0.7992,0.1716,0.4211,38,1.17
JNJ,overboughtThreshold=80.0;oversoldThreshold=20.0;period=15.0,0.5646,0.1937,0.3462,26,0.62
JNPR,overboughtThreshold=85.0;oversoldThreshold=35.0;period=5.0,0.8162,0.2382,0.3602,161,1.49
JPM,overboughtThreshold=65.0;oversoldThreshold=35.0;period=13.0,1.1676,0.1633,0.4030,67,2.21
J,overboughtThreshold=65.0;oversoldThreshold=35.0;period=15.0,1.2835,0.1757,0.4308,65,2.30
KDP,overboughtThreshold=80.0;oversoldThreshold=20.0;period=5.0,0.6288,0.1408,0.3214,140,0.72
KEYS,overboughtThreshold=70.0;oversoldThreshold=30.0;period=15.0,0.7008,0.2526,0.4103,39,1.06
KEY,overboughtThreshold=75.0;oversoldThreshold=35.0;period=13.0,0.7199,0.6245,0.3729,59,2.31
KHC,overboughtThreshold=80.0;oversoldThreshold=20.0;period=19.0,0.5892,0.2544,0.3333,9,0.69
KIM,overboughtThreshold=80.0;oversoldThreshold=15.0;period=5.0,1.0067,0.1963,0.3566,143,3.46
KKR,overboughtThreshold=65.0;oversoldThreshold=20.0;period=5.0,1.2135,0.1575,0.3602,161,3.47
KLAC,overboughtThreshold=70.0;oversoldThreshold=35.0;period=25.0,1.5483,0.2021,0.5000,26,4.30
KMB,overboughtThreshold=65.0;oversoldThreshold=25.0;period=15.0,0.6382,0.1473,0.3636,44,0.54
KMI,overboughtThreshold=85.0;oversoldThreshold=25.0;period=19.0,1.2005,0.1808,0.4706,17,2.73
KMX,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,0.8724,0.2185,0.3555,211,2.58
KO,overboughtThreshold=75.0;oversoldThreshold=25.0;period=17.0,0.6929,0.1440,0.4583,24,0.59
KR,overboughtThreshold=80.0;oversoldThreshold=30.0;period=15.0,1.0101,0.1804,0.4118,34,2.34
KVUE,overboughtThreshold=80.0;oversoldThreshold=15.0;period=25.0,0.8888,0.1129,0.5000,8,0.38
K,overboughtThreshold=85.0;oversoldThreshold=15.0;period=5.0,0.8403,0.0981,0.3684,133,0.91
LDOS,overboughtThreshold=70.0;oversoldThreshold=15.0;period=11.0,0.5722,0.1157,0.3333,36,0.57
LEN,overboughtThreshold=75.0;oversoldThreshold=15.0;period=5.0,1.1428,0.2260,0.3971,136,2.88
LHX,overboughtThreshold=65.0;oversoldThreshold=30.0;period=17.0,0.6204,0.2536,0.3611,36,0.84
LH,overboughtThreshold=85.0;oversoldThreshold=20.0;period=5.0,1.2319,0.2133,0.3630,146,2.24
LII,overboughtThreshold=80.0;oversoldThreshold=30.0;period=9.0,1.2275,0.4058,0.4430,79,3.48
LIN,overboughtThreshold=85.0;oversoldThreshold=15.0;period=11.0,1.0380,0.1129,0.4483,29,1.24
LKQ,overboughtThreshold=80.0;oversoldThreshold=35.0;period=9.0,1.0247,0.3137,0.3750,72,3.07
LLY,overboughtThreshold=85.0;oversoldThreshold=25.0;period=15.0,1.1872,0.1589,0.4545,22,3.27
LMT,overboughtThreshold=85.0;oversoldThreshold=15.0;period=9.0,0.7363,0.0953,0.3902,41,0.69
LNT,overboughtThreshold=70.0;oversoldThreshold=35.0;period=21.0,0.9634,0.1599,0.4474,38,1.35
LOW,overboughtThreshold=70.0;oversoldThreshold=30.0;period=7.0,1.0673,0.1891,0.3893,131,2.08
LRCX,overboughtThreshold=80.0;oversoldThreshold=30.0;period=7.0,0.8685,0.4246,0.3619,105,3.37
LULU,overboughtThreshold=65.0;oversoldThreshold=15.0;period=9.0,0.4696,0.2025,0.3607,61,0.67
LUV,overboughtThreshold=65.0;oversoldThreshold=15.0;period=7.0,0.5813,0.3165,0.3370,92,1.06
LVS,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,0.8826,0.4250,0.3704,216,3.18
LW,overboughtThreshold=65.0;oversoldThreshold=20.0;period=7.0,1.1554,0.1502,0.4037,109,2.14
LYB,overboughtThreshold=65.0;oversoldThreshold=30.0;period=7.0,1.2265,0.1929,0.3759,133,2.97
LYV,overboughtThreshold=80.0;oversoldThreshold=15.0;period=15.0,1.1147,0.1076,0.4375,16,1.71
L,overboughtThreshold=75.0;oversoldThreshold=15.0;period=5.0,1.2814,0.1091,0.4014,142,1.98
MAA,overboughtThreshold=75.0;oversoldThreshold=20.0;period=5.0,0.6828,0.2683,0.3462,156,1.01
MAR,overboughtThreshold=75.0;oversoldThreshold=20.0;period=7.0,1.6053,0.1404,0.4227,97,5.20
MAS,overboughtThreshold=80.0;oversoldThreshold=25.0;period=5.0,0.8158,0.2702,0.3497,143,1.61
MA,overboughtThreshold=70.0;oversoldThreshold=20.0;period=17.0,1.0108,0.0684,0.4444,18,0.96
MCD,overboughtThreshold=70.0;oversoldThreshold=20.0;period=5.0,1.0275,0.1784,0.3795,166,1.07
MCHP,overboughtThreshold=70.0;oversoldThreshold=25.0;period=21.0,0.8402,0.0842,0.4375,16,0.91
MCK,overboughtThreshold=85.0;oversoldThreshold=35.0;period=11.0,1.8174,0.1653,0.4545,55,6.01
MCO,overboughtThreshold=75.0;oversoldThreshold=25.0;period=19.0,0.8657,0.1395,0.4000,20,1.18
MDLZ,overboughtThreshold=70.0;oversoldThreshold=30.0;period=21.0,0.6076,0.2196,0.3750,32,0.64
MDT,overboughtThreshold=70.0;oversoldThreshold=35.0;period=7.0,0.5475,0.2401,0.3409,132,0.77
META,overboughtThreshold=65.0;oversoldThreshold=20.0;period=5.0,0.9848,0.2135,0.3878,147,2.93
MET,overboughtThreshold=65.0;oversoldThreshold=35.0;period=13.0,0.9174,0.3309,0.3636,66,1.59
MGM,overboughtThreshold=70.0;oversoldThreshold=25.0;period=17.0,1.1270,0.2287,0.3750,32,2.96
MHK,overboughtThreshold=70.0;oversoldThreshold=15.0;period=5.0,0.8915,0.2298,0.3287,143,2.84
MKC,overboughtThreshold=75.0;oversoldThreshold=25.0;period=23.0,0.3344,0.2881,0.3684,19,0.38
MKTX,overboughtThreshold=65.0;oversoldThreshold=35.0;period=7.0,0.4431,0.3838,0.3235,136,0.76
MLM,overboughtThreshold=80.0;oversoldThreshold=25.0;period=9.0,0.9727,0.2950,0.4127,63,2.37
MMC,overboughtThreshold=85.0;oversoldThreshold=35.0;period=5.0,1.1812,0.1336,0.3620,163,1.95
MMM,overboughtThreshold=80.0;oversoldThreshold=35.0;period=23.0,0.4082,0.3943,0.3125,16,0.68
MNST,overboughtThreshold=80.0;oversoldThreshold=35.0;period=13.0,0.7688,0.2693,0.3913,46,1.43
MOH,overboughtThreshold=70.0;oversoldThreshold=35.0;period=23.0,0.9057,0.3231,0.3871,31,2.53
MOS,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.8988,0.4176,0.3827,196,3.11
MO,overboughtThreshold=75.0;oversoldThreshold=30.0;period=23.0,1.1234,0.1133,0.3704,27,1.58
MPC,overboughtThreshold=85.0;oversoldThreshold=30.0;period=21.0,1.1640,0.2804,0.4615,13,5.29
MPWR,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,0.9377,0.3591,0.3756,205,4.09
MRK,overboughtThreshold=65.0;oversoldThreshold=15.0;period=15.0,1.0629,0.0664,0.4167,24,0.84
MRNA,overboughtThreshold=85.0;oversoldThreshold=20.0;period=15.0,0.3515,0.8615,0.2857,21,0.56
MSCI,overboughtThreshold=75.0;oversoldThreshold=30.0;period=11.0,0.8290,0.2715,0.3898,59,1.91
MSFT,overboughtThreshold=85.0;oversoldThreshold=20.0;period=5.0,1.0720,0.2123,0.3885,139,2.24
MSI,overboughtThreshold=80.0;oversoldThreshold=35.0;period=23.0,1.3263,0.1866,0.4737,19,3.29
MS,overboughtThreshold=85.0;oversoldThreshold=20.0;period=13.0,0.9441,0.2312,0.4000,30,1.60
MTB,overboughtThreshold=80.0;oversoldThreshold=30.0;period=13.0,0.8941,0.4117,0.3846,39,3.01
MTCH,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,0.5618,0.3429,0.3184,201,1.44
MTD,overboughtThreshold=80.0;oversoldThreshold=15.0;period=9.0,1.0831,0.1174,0.4167,48,1.50
MU,overboughtThreshold=75.0;oversoldThreshold=20.0;period=21.0,1.2252,0.0713,0.5000,14,1.05
NCLH,overboughtThreshold=75.0;oversoldThreshold=35.0;period=7.0,0.8933,0.4966,0.3798,129,6.99
NDAQ,overboughtThreshold=85.0;oversoldThreshold=35.0;period=15.0,0.8485,0.3324,0.4400,25,1.55
NDSN,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.8830,0.2516,0.3838,198,1.54
NEE,overboughtThreshold=75.0;oversoldThreshold=25.0;period=19.0,0.7989,0.2757,0.3600,25,1.35
NEM,overboughtThreshold=70.0;oversoldThreshold=15.0;period=7.0,0.5802,0.2407,0.3587,92,0.95
NFLX,overboughtThreshold=75.0;oversoldThreshold=30.0;period=7.0,0.6012,0.7298,0.3805,113,1.69
NI,overboughtThreshold=70.0;oversoldThreshold=35.0;period=25.0,1.0438,0.1632,0.4615,26,1.43
NKE,overboughtThreshold=65.0;oversoldThreshold=30.0;period=17.0,0.7546,0.3034,0.2750,40,1.41
NOC,overboughtThreshold=80.0;oversoldThreshold=25.0;period=11.0,0.8162,0.1802,0.3519,54,1.37
NOW,overboughtThreshold=80.0;oversoldThreshold=35.0;period=5.0,1.1012,0.2804,0.3855,179,5.20
NRG,overboughtThreshold=70.0;oversoldThreshold=25.0;period=25.0,1.1609,0.0712,0.5000,12,1.06
NSC,overboughtThreshold=65.0;oversoldThreshold=25.0;period=5.0,0.6488,0.2261,0.3540,161,0.94
NTAP,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,0.9915,0.2230,0.3508,191,2.40
NTRS,overboughtThreshold=65.0;oversoldThreshold=35.0;period=17.0,1.1027,0.2886,0.4151,53,2.86
NUE,overboughtThreshold=65.0;oversoldThreshold=35.0;period=25.0,0.8178,0.2420,0.3846,26,1.60
NVDA,overboughtThreshold=70.0;oversoldThreshold=15.0;period=5.0,0.9883,0.2712,0.3622,127,4.13
NVR,overboughtThreshold=65.0;oversoldThreshold=15.0;period=7.0,1.1097,0.1482,0.4167,84,1.71
NWSA,overboughtThreshold=65.0;oversoldThreshold=25.0;period=5.0,1.1583,0.2157,0.3526,173,2.46
NWS,overboughtThreshold=80.0;oversoldThreshold=15.0;period=11.0,1.2107,0.2005,0.4194,31,1.72
NXPI,overboughtThreshold=80.0;oversoldThreshold=15.0;period=17.0,1.2876,0.0612,0.5000,12,1.25
ODFL,overboughtThreshold=85.0;oversoldThreshold=15.0;period=5.0,0.9093,0.2499,0.3609,133,2.23
OKE,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.9884,0.3190,0.3702,181,2.97
OMC,overboughtThreshold=70.0;oversoldThreshold=30.0;period=9.0,1.1118,0.2211,0.3636,88,2.61
ON,overboughtThreshold=65.0;oversoldThreshold=25.0;period=5.0,1.4301,0.3010,0.3697,165,8.56
ORCL,overboughtThreshold=80.0;oversoldThreshold=35.0;period=9.0,0.7956,0.3250,0.3600,75,1.73
ORLY,overboughtThreshold=85.0;oversoldThreshold=35.0;period=5.0,1.2981,0.1887,0.3478,161,2.77
OTIS,overboughtThreshold=85.0;oversoldThreshold=30.0;period=11.0,0.7904,0.2515,0.3913,46,1.35
OXY,overboughtThreshold=80.0;oversoldThreshold=25.0;period=11.0,0.9564,0.3480,0.4000,45,4.11
O,overboughtThreshold=75.0;oversoldThreshold=25.0;period=7.0,0.4080,0.3468,0.3140,86,0.52
PANW,overboughtThreshold=70.0;oversoldThreshold=35.0;period=19.0,1.2284,0.2189,0.4250,40,5.44
PARA,overboughtThreshold=65.0;oversoldThreshold=15.0;period=23.0,0.8092,0.1150,0.5000,12,1.34
PAYC,overboughtThreshold=85.0;oversoldThreshold=15.0;period=21.0,0.6308,0.1426,0.3750,8,0.85
PAYX,overboughtThreshold=80.0;oversoldThreshold=25.0;period=11.0,0.9397,0.1518,0.3810,42,1.34
PCAR,overboughtThreshold=70.0;oversoldThreshold=30.0;period=11.0,1.0757,0.1890,0.3836,73,1.92
PCG,overboughtThreshold=75.0;oversoldThreshold=30.0;period=23.0,1.2626,0.1245,0.4762,21,2.47
PEG,overboughtThreshold=65.0;oversoldThreshold=35.0;period=19.0,1.0884,0.1482,0.4222,45,1.54
PEP,overboughtThreshold=85.0;oversoldThreshold=20.0;period=13.0,0.4911,0.2045,0.3704,27,0.51
PFE,overboughtThreshold=65.0;oversoldThreshold=20.0;period=25.0,0.2406,0.2530,0.3889,18,0.28
PFG,overboughtThreshold=75.0;oversoldThreshold=35.0;period=9.0,1.1731,0.2530,0.3511,94,3.61
PGR,overboughtThreshold=80.0;oversoldThreshold=30.0;period=13.0,1.4279,0.1237,0.4545,44,3.76
PG,overboughtThreshold=80.0;oversoldThreshold=25.0;period=25.0,0.6203,0.0626,0.4444,9,0.46
PHM,overboughtThreshold=75.0;oversoldThreshold=15.0;period=5.0,1.3537,0.1898,0.4071,140,4.40
PH,overboughtThreshold=80.0;oversoldThreshold=35.0;period=9.0,1.3084,0.1850,0.4217,83,4.11
PKG,overboughtThreshold=75.0;oversoldThreshold=20.0;period=17.0,1.1784,0.0708,0.4348,23,0.90
PLD,overboughtThreshold=75.0;oversoldThreshold=20.0;period=17.0,0.7438,0.1639,0.4000,20,1.03
PLTR,overboughtThreshold=70.0;oversoldThreshold=20.0;period=13.0,1.0928,0.5059,0.4118,51,6.71
PM,overboughtThreshold=80.0;oversoldThreshold=25.0;period=19.0,1.2839,0.0982,0.4000,20,1.39
PNC,overboughtThreshold=85.0;oversoldThreshold=20.0;period=5.0,0.7933,0.2389,0.3200,125,1.75
PNR,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.9220,0.3550,0.3770,191,1.99
PNW,overboughtThreshold=85.0;oversoldThreshold=20.0;period=21.0,1.0443,0.0923,0.3846,13,1.12
PODD,overboughtThreshold=75.0;oversoldThreshold=25.0;period=11.0,0.8433,0.5022,0.4211,57,2.36
POOL,overboughtThreshold=80.0;oversoldThreshold=35.0;period=5.0,0.7154,0.2932,0.3412,170,1.66
PPG,overboughtThreshold=85.0;oversoldThreshold=20.0;period=5.0,0.8815,0.2625,0.3566,129,1.71
PPL,overboughtThreshold=70.0;oversoldThreshold=30.0;period=23.0,0.7978,0.1256,0.3846,26,1.00
PRU,overboughtThreshold=85.0;oversoldThreshold=30.0;period=9.0,0.9789,0.3523,0.3846,65,2.57
PSA,overboughtThreshold=75.0;oversoldThreshold=30.0;period=17.0,0.6722,0.1775,0.3548,31,1.09
PSX,overboughtThreshold=75.0;oversoldThreshold=30.0;period=21.0,0.9657,0.3342,0.3929,28,3.12
PTC,overboughtThreshold=75.0;oversoldThreshold=20.0;period=13.0,1.2493,0.0986,0.4074,27,1.38
PWR,overboughtThreshold=85.0;oversoldThreshold=30.0;period=5.0,1.4483,0.2285,0.4099,161,6.14
PYPL,overboughtThreshold=80.0;oversoldThreshold=15.0;period=21.0,0.5486,0.0581,0.5000,4,0.36
QCOM,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.8594,0.2219,0.3604,197,2.54
RCL,overboughtThreshold=85.0;oversoldThreshold=20.0;period=7.0,0.9097,0.5529,0.3649,74,6.26
REGN,overboughtThreshold=70.0;oversoldThreshold=35.0;period=7.0,0.7058,0.3742,0.3985,133,1.33
REG,overboughtThreshold=65.0;oversoldThreshold=15.0;period=7.0,1.1936,0.1437,0.3929,84,1.94
RF,overboughtThreshold=75.0;oversoldThreshold=30.0;period=19.0,0.8097,0.4010,0.4000,25,1.95
RJF,overboughtThreshold=80.0;oversoldThreshold=30.0;period=21.0,0.9262,0.1964,0.3684,19,1.67
RL,overboughtThreshold=75.0;oversoldThreshold=20.0;period=9.0,1.3632,0.1712,0.3607,61,5.67
RMD,overboughtThreshold=70.0;oversoldThreshold=30.0;period=9.0,1.0537,0.2189,0.3793,87,2.07
ROK,overboughtThreshold=80.0;oversoldThreshold=35.0;period=5.0,1.0496,0.4400,0.3898,177,2.82
ROL,overboughtThreshold=75.0;oversoldThreshold=15.0;period=9.0,1.1276,0.1004,0.3654,52,1.22
ROP,overboughtThreshold=70.0;oversoldThreshold=30.0;period=21.0,1.2698,0.1232,0.5000,26,1.14
ROST,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,0.9709,0.1622,0.3399,203,2.59
RSG,overboughtThreshold=85.0;oversoldThreshold=35.0;period=23.0,1.1622,0.1684,0.4545,11,1.90
RTX,overboughtThreshold=65.0;oversoldThreshold=20.0;period=7.0,0.9898,0.1543,0.3585,106,1.74
RVTY,overboughtThreshold=70.0;oversoldThreshold=30.0;period=11.0,0.8063,0.2784,0.3766,77,1.74
SBAC,overboughtThreshold=75.0;oversoldThreshold=20.0;period=19.0,0.3918,0.3243,0.3333,18,0.51
SBUX,overboughtThreshold=85.0;oversoldThreshold=25.0;period=7.0,1.0189,0.2848,0.3483,89,2.92
SCHW,overboughtThreshold=80.0;oversoldThreshold=25.0;period=15.0,0.7243,0.4606,0.3333,30,1.61
SHW,overboughtThreshold=85.0;oversoldThreshold=15.0;period=25.0,0.9300,0.0844,0.4286,7,0.80
SJM,overboughtThreshold=70.0;oversoldThreshold=15.0;period=7.0,0.7475,0.2275,0.3537,82,0.81
SLB,overboughtThreshold=85.0;oversoldThreshold=15.0;period=5.0,1.1222,0.2751,0.3556,135,4.42
SMCI,overboughtThreshold=85.0;oversoldThreshold=20.0;period=5.0,1.1869,0.5192,0.3776,143,21.80
SNA,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,1.1003,0.1575,0.3618,199,2.11
SNPS,overboughtThreshold=75.0;oversoldThreshold=25.0;period=7.0,0.9643,0.2891,0.3592,103,2.58
SOLV,overboughtThreshold=85.0;oversoldThreshold=15.0;period=19.0,1.5804,0.0919,0.5000,6,0.37
SO,overboughtThreshold=75.0;oversoldThreshold=35.0;period=25.0,1.1339,0.1593,0.4400,25,1.61
SPGI,overboughtThreshold=80.0;oversoldThreshold=35.0;period=5.0,0.6989,0.3536,0.3522,159,1.05
SPG,overboughtThreshold=85.0;oversoldThreshold=15.0;period=5.0,1.0239,0.2251,0.3590,117,4.37
SRE,overboughtThreshold=85.0;oversoldThreshold=15.0;period=9.0,0.5345,0.1919,0.3061,49,0.63
STE,overboughtThreshold=75.0;oversoldThreshold=30.0;period=13.0,1.2456,0.1489,0.4231,52,2.45
STLD,overboughtThreshold=80.0;oversoldThreshold=30.0;period=11.0,1.3183,0.2846,0.4098,61,5.00
STT,overboughtThreshold=85.0;oversoldThreshold=25.0;period=9.0,0.9206,0.3155,0.3770,61,2.71
STX,overboughtThreshold=85.0;oversoldThreshold=35.0;period=19.0,0.8273,0.5696,0.4000,25,2.45
STZ,overboughtThreshold=65.0;oversoldThreshold=25.0;period=5.0,0.8980,0.3162,0.3854,192,1.54
SWKS,overboughtThreshold=65.0;oversoldThreshold=20.0;period=21.0,0.5717,0.0894,0.4706,17,0.51
SWK,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.7568,0.2644,0.3216,199,1.84
SW,overboughtThreshold=80.0;oversoldThreshold=30.0;period=7.0,1.1981,0.2556,0.3590,117,5.30
SYF,overboughtThreshold=80.0;oversoldThreshold=20.0;period=5.0,1.0869,0.3774,0.3556,135,4.42
SYK,overboughtThreshold=75.0;oversoldThreshold=15.0;period=11.0,1.3699,0.1090,0.4250,40,1.72
SYY,overboughtThreshold=70.0;oversoldThreshold=35.0;period=11.0,1.0511,0.1948,0.3875,80,2.33
TAP,overboughtThreshold=70.0;oversoldThreshold=25.0;period=23.0,0.8651,0.1843,0.5000,24,1.60
TDG,overboughtThreshold=85.0;oversoldThreshold=30.0;period=13.0,1.1926,0.2160,0.4571,35,3.15
TDY,overboughtThreshold=70.0;oversoldThreshold=30.0;period=7.0,1.0710,0.1693,0.3969,131,1.81
TECH,overboughtThreshold=70.0;oversoldThreshold=20.0;period=11.0,0.7893,0.2286,0.3922,51,1.34
TEL,overboughtThreshold=75.0;oversoldThreshold=30.0;period=9.0,1.0938,0.2090,0.3956,91,2.04
TER,overboughtThreshold=75.0;oversoldThreshold=15.0;period=15.0,0.8427,0.1297,0.5000,18,1.12
TFC,overboughtThreshold=70.0;oversoldThreshold=35.0;period=17.0,0.5877,0.5868,0.3953,43,1.23
TFX,overboughtThreshold=70.0;oversoldThreshold=15.0;period=7.0,0.4478,0.2735,0.3291,79,0.55
TGT,overboughtThreshold=65.0;oversoldThreshold=20.0;period=11.0,0.4992,0.1978,0.3725,51,0.73
TJX,overboughtThreshold=65.0;oversoldThreshold=20.0;period=5.0,1.3825,0.1151,0.3743,171,2.75
TMO,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,1.1108,0.1910,0.3674,215,2.17
TMUS,overboughtThreshold=80.0;oversoldThreshold=30.0;period=7.0,1.2125,0.2405,0.3962,106,2.50
TPL,overboughtThreshold=85.0;oversoldThreshold=20.0;period=17.0,1.3967,0.2999,0.3125,16,7.77
TPR,overboughtThreshold=80.0;oversoldThreshold=30.0;period=11.0,1.1686,0.3137,0.3962,53,6.15
TRGP,overboughtThreshold=85.0;oversoldThreshold=25.0;period=25.0,1.3356,0.1822,0.5000,8,4.49
TRMB,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,0.6705,0.2695,0.3575,179,1.32
TROW,overboughtThreshold=75.0;oversoldThreshold=15.0;period=11.0,0.5736,0.1800,0.3333,30,0.65
TRV,overboughtThreshold=65.0;oversoldThreshold=35.0;period=13.0,0.9363,0.1749,0.4091,66,1.42
TSCO,overboughtThreshold=65.0;oversoldThreshold=25.0;period=15.0,0.9496,0.1540,0.4474,38,1.22
TSLA,overboughtThreshold=85.0;oversoldThreshold=20.0;period=19.0,0.5406,0.6621,0.4167,12,1.46
TSN,overboughtThreshold=80.0;oversoldThreshold=15.0;period=19.0,0.7638,0.1148,0.4000,15,0.81
TTWO,overboughtThreshold=75.0;oversoldThreshold=20.0;period=17.0,1.2362,0.0953,0.5000,20,1.24
TT,overboughtThreshold=80.0;oversoldThreshold=30.0;period=9.0,1.2122,0.3435,0.4247,73,2.82
TXN,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,1.3304,0.1165,0.3944,213,3.25
TXT,overboughtThreshold=65.0;oversoldThreshold=30.0;period=5.0,1.2779,0.1321,0.3568,199,3.63
TYL,overboughtThreshold=65.0;oversoldThreshold=15.0;period=9.0,1.0343,0.1422,0.4386,57,1.34
T,overboughtThreshold=75.0;oversoldThreshold=25.0;period=21.0,0.6082,0.2391,0.3500,20,0.76
UAL,overboughtThreshold=75.0;oversoldThreshold=25.0;period=13.0,0.9986,0.4116,0.4000,40,3.43
UBER,overboughtThreshold=70.0;oversoldThreshold=15.0;period=5.0,1.1025,0.2533,0.3691,149,5.10
UDR,overboughtThreshold=75.0;oversoldThreshold=35.0;period=5.0,0.7487,0.3441,0.3316,190,1.37
UHS,overboughtThreshold=80.0;oversoldThreshold=30.0;period=7.0,1.0602,0.3117,0.3874,111,3.03
ULTA,overboughtThreshold=70.0;oversoldThreshold=15.0;period=5.0,0.8451,0.1766,0.3806,155,1.61
UNH,overboughtThreshold=70.0;oversoldThreshold=30.0;period=13.0,1.2381,0.1154,0.4000,65,2.23
UNP,overboughtThreshold=75.0;oversoldThreshold=35.0;period=11.0,0.9403,0.2134,0.3913,69,1.56
UPS,overboughtThreshold=70.0;oversoldThreshold=25.0;period=9.0,0.7328,0.2108,0.4091,88,1.17
URI,overboughtThreshold=75.0;oversoldThreshold=35.0;period=7.0,1.3630,0.2504,0.3942,137,7.34
USB,overboughtThreshold=80.0;oversoldThreshold=35.0;period=5.0,0.7301,0.3294,0.3396,159,1.83
VICI,overboughtThreshold=85.0;oversoldThreshold=30.0;period=11.0,1.0372,0.1500,0.3409,44,2.13
VLO,overboughtThreshold=80.0;oversoldThreshold=25.0;period=19.0,0.8756,0.2859,0.4000,20,3.00
VLTO,overboughtThreshold=85.0;oversoldThreshold=25.0;period=21.0,1.4359,0.0810,0.4286,7,0.74
VMC,overboughtThreshold=65.0;oversoldThreshold=25.0;period=23.0,0.8728,0.1176,0.4211,19,0.72
VRSK,overboughtThreshold=85.0;oversoldThreshold=20.0;period=17.0,0.8623,0.1582,0.4667,15,1.33
VRSN,overboughtThreshold=80.0;oversoldThreshold=35.0;period=5.0,0.9659,0.2975,0.3621,174,1.89
VRTX,overboughtThreshold=70.0;oversoldThreshold=25.0;period=17.0,1.3525,0.0654,0.5000,30,1.81
VST,overboughtThreshold=80.0;oversoldThreshold=25.0;period=15.0,1.2398,0.2401,0.4783,23,4.27
VTRS,overboughtThreshold=85.0;oversoldThreshold=15.0;period=19.0,0.4363,0.2751,0.3571,14,0.46
VTR,overboughtThreshold=85.0;oversoldThreshold=15.0;period=5.0,0.8733,0.2572,0.3387,124,2.23
VZ,overboughtThreshold=85.0;oversoldThreshold=15.0;period=21.0,0.4199,0.1637,0.3333,9,0.46
V,overboughtThreshold=80.0;oversoldThreshold=15.0;period=13.0,1.1027,0.0648,0.4286,14,0.72
WAB,overboughtThreshold=80.0;oversoldThreshold=20.0;period=5.0,1.4006,0.1395,0.3878,147,4.05
WAT,overboughtThreshold=80.0;oversoldThreshold=15.0;period=7.0,0.9138,0.1887,0.3765,85,1.71
WBA,overboughtThreshold=65.0;oversoldThreshold=15.0;period=5.0,0.2599,0.2956,0.2987,154,0.38
WBD,overboughtThreshold=65.0;oversoldThreshold=20.0;period=17.0,1.1850,0.1885,0.4706,34,1.85
WDAY,overboughtThreshold=85.0;oversoldThreshold=35.0;period=5.0,0.7764,0.4453,0.3540,161,2.40
