Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
AAPL,period=25.0;threshold=2.5,0.9165,0.2166,0.4516,31,1.77
ABBV,period=15.0;threshold=0.5,0.6786,0.1319,0.3917,120,0.82
ABNB,period=20.0;threshold=0.75,0.2852,0.3935,0.3678,87,0.45
ABT,period=15.0;threshold=0.5,0.4911,0.1883,0.3492,126,0.60
ACGL,period=25.0;threshold=2.5,1.0699,0.2246,0.4074,27,1.92
ACN,period=25.0;threshold=2.5,0.6240,0.1871,0.3704,27,0.83
ADBE,period=5.0;threshold=2.0,0.5055,0.3315,0.3077,130,0.94
ADI,period=5.0;threshold=2.0,1.3962,0.1349,0.3885,157,4.44
ADM,period=15.0;threshold=2.5,0.2674,0.3721,0.3421,38,0.37
ADP,period=15.0;threshold=2.5,0.9934,0.1451,0.4146,41,1.34
ADSK,period=5.0;threshold=1.75,0.8453,0.3752,0.3514,185,2.26
AEE,period=25.0;threshold=1.5,0.6699,0.1881,0.3846,52,0.79
AEP,period=20.0;threshold=2.0,0.5263,0.1916,0.3333,48,0.63
AES,period=10.0;threshold=1.5,0.0910,0.6169,0.3367,98,0.08
AFL,period=25.0;threshold=1.5,1.3866,0.1376,0.4615,52,2.08
AIG,period=5.0;threshold=1.5,1.2863,0.2398,0.3850,200,4.02
AIZ,period=5.0;threshold=1.75,0.7638,0.2444,0.3354,161,1.32
AJG,period=15.0;threshold=1.0,1.0546,0.1357,0.3684,95,1.41
AKAM,period=15.0;threshold=2.5,0.5496,0.2397,0.3488,43,0.83
ALB,period=5.0;threshold=0.5,0.4532,0.4882,0.3285,274,1.02
ALGN,period=5.0;threshold=1.75,0.2215,0.6644,0.3174,167,0.27
ALLE,period=5.0;threshold=2.5,0.8978,0.1678,0.3583,120,1.45
ALL,period=25.0;threshold=0.5,0.7857,0.2325,0.4130,92,1.18
AMAT,period=10.0;threshold=2.5,1.2006,0.2598,0.3827,81,5.14
AMCR,period=5.0;threshold=0.75,0.8764,0.1567,0.3478,276,1.53
AMD,period=5.0;threshold=2.0,0.8765,0.4247,0.3529,153,3.52
AME,period=10.0;threshold=2.0,1.0353,0.1509,0.4026,77,1.57
AMGN,period=25.0;threshold=1.5,0.4891,0.2144,0.3600,50,0.64
AMP,period=5.0;threshold=2.0,1.2290,0.1655,0.3826,149,3.80
AMT,period=5.0;threshold=0.75,0.1640,0.3502,0.3269,260,0.23
AMZN,period=5.0;threshold=1.5,0.8572,0.3608,0.3805,205,2.33
ANET,period=5.0;threshold=0.75,0.9305,0.2494,0.3640,239,2.93
ANSS,period=10.0;threshold=1.5,0.6755,0.3158,0.3652,115,1.37
AON,period=25.0;threshold=2.5,0.6801,0.2186,0.4286,28,0.95
AOS,period=10.0;threshold=2.5,0.9472,0.3528,0.4143,70,1.89
APA,period=15.0;threshold=2.25,0.7147,0.4822,0.3061,49,2.38
