Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
AAPL,fastPeriod=5;slowPeriod=30,0.6355,0.2272,0.2679,56,0.91
ABBV,fastPeriod=20;slowPeriod=30,0.7665,0.2667,0.3023,43,1.05
ABNB,fastPeriod=15;slowPeriod=30,0.2176,0.5213,0.2222,45,0.30
ABT,fastPeriod=10;slowPeriod=30,0.4964,0.2074,0.2000,55,0.62
ACGL,fastPeriod=10;slowPeriod=50,0.8113,0.1871,0.3667,30,1.39
ACN,fastPeriod=10;slowPeriod=20,0.3810,0.3046,0.2432,74,0.50
ADBE,fastPeriod=5;slowPeriod=20,0.2726,0.3403,0.2111,90,0.40
ADI,fastPeriod=20;slowPeriod=30,-0.0195,0.3349,0.2239,67,-0.00
ADM,fastPeriod=10;slowPeriod=50,0.5280,0.1841,0.2500,28,0.68
ADP,fastPeriod=10;slowPeriod=20,0.8870,0.1968,0.2278,79,1.32
ADSK,fastPeriod=20;slowPeriod=50,-0.2181,0.5938,0.1750,40,-0.25
AEE,fastPeriod=5;slowPeriod=20,0.4248,0.1752,0.2000,85,0.49
AEP,fastPeriod=5;slowPeriod=20,0.3952,0.2101,0.1798,89,0.46
AES,fastPeriod=20;slowPeriod=30,0.5962,0.4674,0.2500,44,1.14
AFL,fastPeriod=20;slowPeriod=40,0.4453,0.1967,0.2979,47,0.60
AIG,fastPeriod=15;slowPeriod=20,0.5678,0.3139,0.2584,89,1.05
AIZ,fastPeriod=10;slowPeriod=40,0.5832,0.1473,0.2857,42,0.83
AJG,fastPeriod=10;slowPeriod=30,1.1867,0.1639,0.3617,47,1.90
AKAM,fastPeriod=5;slowPeriod=20,-0.0106,0.3070,0.2386,88,0.03
ALB,fastPeriod=5;slowPeriod=20,0.3367,0.5016,0.2143,84,0.59
ALGN,fastPeriod=20;slowPeriod=30,0.4111,0.5274,0.1800,50,0.87
ALLE,fastPeriod=20;slowPeriod=50,0.3050,0.2006,0.2353,34,0.39
ALL,fastPeriod=5;slowPeriod=50,0.3382,0.3501,0.1837,49,0.45
AMAT,fastPeriod=5;slowPeriod=30,0.3606,0.4598,0.1290,62,0.64
AMCR,fastPeriod=20;slowPeriod=30,-0.2144,0.3177,0.2075,53,-0.13
AMD,fastPeriod=15;slowPeriod=20,0.5747,0.4479,0.2660,94,1.52
AME,fastPeriod=20;slowPeriod=30,0.4495,0.1555,0.2632,57,0.56
AMGN,fastPeriod=5;slowPeriod=20,0.3493,0.2464,0.2118,85,0.46
AMP,fastPeriod=20;slowPeriod=30,0.8312,0.1434,0.3125,48,1.50
AMT,fastPeriod=10;slowPeriod=50,0.1009,0.3740,0.1622,37,0.16
AMZN,fastPeriod=10;slowPeriod=30,0.2606,0.2948,0.2500,52,0.37
ANET,fastPeriod=15;slowPeriod=30,0.1254,0.8392,0.2955,44,-0.35
ANSS,fastPeriod=15;slowPeriod=20,0.0757,0.4351,0.2451,102,0.09
AON,fastPeriod=5;slowPeriod=20,0.6989,0.1429,0.2410,83,0.97
AOS,fastPeriod=5;slowPeriod=50,0.1303,0.1983,0.1452,62,0.18
APA,fastPeriod=10;slowPeriod=20,0.3477,0.5359,0.1974,76,0.64
APD,fastPeriod=5;slowPeriod=20,0.4050,0.2606,0.2432,74,0.57
APH,fastPeriod=10;slowPeriod=20,0.2775,0.2333,0.2283,92,0.38
APO,fastPeriod=20;slowPeriod=30,0.8358,0.2630,0.3462,52,1.99
APTV,fastPeriod=20;slowPeriod=30,0.4305,0.3119,0.2157,51,0.72
ARE,fastPeriod=5;slowPeriod=20,0.1083,0.2812,0.1978,91,0.16
ATO,fastPeriod=20;slowPeriod=40,0.3730,0.1821,0.2093,43,0.43
AVB,fastPeriod=10;slowPeriod=30,0.3564,0.1936,0.2549,51,0.44
AVGO,fastPeriod=15;slowPeriod=20,0.4614,0.2512,0.2245,98,0.91
AVY,fastPeriod=15;slowPeriod=30,0.3608,0.2336,0.1875,48,0.49
AWK,fastPeriod=5;slowPeriod=20,0.2024,0.3109,0.1758,91,0.27
AXON,fastPeriod=15;slowPeriod=50,0.8952,0.3866,0.2647,34,3.54
AXP,fastPeriod=20;slowPeriod=30,0.7111,0.1987,0.2500,56,1.33
AZO,fastPeriod=10;slowPeriod=20,0.5214,0.1789,0.2771,83,0.69
A,fastPeriod=15;slowPeriod=20,0.2804,0.3701,0.2500,92,0.40
BAC,fastPeriod=5;slowPeriod=20,0.5343,0.2982,0.2955,88,0.85
BALL,fastPeriod=20;slowPeriod=30,0.3536,0.3389,0.2609,46,0.50
BAX,fastPeriod=20;slowPeriod=50,0.3564,0.1287,0.2857,21,0.41
BA,fastPeriod=5;slowPeriod=20,0.4013,0.4428,0.1220,82,0.74
BBY,fastPeriod=10;slowPeriod=50,-0.0812,0.3631,0.2000,30,-0.09
BDX,fastPeriod=15;slowPeriod=20,-0.3827,0.3839,0.2037,108,-0.22
BEN,fastPeriod=15;slowPeriod=30,0.3594,0.3518,0.2273,44,0.55
BF.B,fastPeriod=10;slowPeriod=30,-0.0781,0.2932,0.2326,43,-0.02
BG,fastPeriod=20;slowPeriod=40,0.7132,0.2810,0.2727,44,1.21
BIIB,fastPeriod=15;slowPeriod=30,-0.0124,0.4326,0.1739,46,-0.04
BKNG,fastPeriod=15;slowPeriod=20,0.2996,0.5157,0.2527,91,0.46
BKR,fastPeriod=10;slowPeriod=20,0.7451,0.2303,0.2568,74,1.83
BK,fastPeriod=15;slowPeriod=50,0.6780,0.2389,0.2593,27,1.07
BLDR,fastPeriod=5;slowPeriod=50,0.8466,0.5320,0.2222,36,2.59
BLK,fastPeriod=5;slowPeriod=20,0.7742,0.2343,0.2283,92,1.24
BMY,fastPeriod=20;slowPeriod=40,0.1919,0.2173,0.1471,34,0.26
BRK.B,fastPeriod=5;slowPeriod=20,0.9681,0.1168,0.2418,91,1.20
BRO,fastPeriod=10;slowPeriod=20,0.6671,0.2125,0.2987,77,0.99
BR,fastPeriod=15;slowPeriod=20,0.4106,0.1967,0.2500,84,0.51
BSX,fastPeriod=15;slowPeriod=50,0.6897,0.2011,0.2174,23,0.94
