symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JBL,2020-03-12 04:00:00+00:00,25.27,26.38,23.29,25.41,3377380.0,27793.0,24.573059
JBL,2020-03-13 04:00:00+00:00,23.05,25.68,22.29,24.83,4546847.0,30033.0,23.562174
JBL,2020-03-16 04:00:00+00:00,22.42,22.72,21.15,21.66,3363467.0,30186.0,21.926019
JBL,2020-03-17 04:00:00+00:00,22.09,22.475,20.33,21.72,3388017.0,25048.0,21.500957
JBL,2020-03-18 04:00:00+00:00,20.06,21.4,18.02,18.66,3569848.0,28476.0,19.663258
JBL,2020-03-19 04:00:00+00:00,18.51,21.06,17.63,19.95,3953922.0,27032.0,20.026469
JBL,2020-03-20 04:00:00+00:00,20.38,21.19,18.16,18.49,3366540.0,26564.0,19.176966
JBL,2020-03-23 04:00:00+00:00,18.36,20.0,18.0,19.2,2334637.0,22239.0,19.017453
JBL,2020-03-24 04:00:00+00:00,20.84,22.36,19.64,22.0,2961322.0,25897.0,21.276486
JBL,2020-03-25 04:00:00+00:00,22.47,25.26,21.27,23.63,3577474.0,33079.0,23.473216
JBL,2020-03-26 04:00:00+00:00,23.92,25.82,23.53,25.66,2144498.0,20063.0,25.18076
JBL,2020-03-27 04:00:00+00:00,24.57,24.92,23.3,23.85,2094404.0,18776.0,23.87003
JBL,2020-03-30 04:00:00+00:00,23.84,24.65,23.5984,24.6,2470536.0,19223.0,24.400075
JBL,2020-03-31 04:00:00+00:00,24.6,25.385,24.03,24.58,2071749.0,16855.0,24.706474
JBL,2020-04-01 04:00:00+00:00,23.29,23.9,22.53,22.87,1824841.0,19069.0,23.10049
JBL,2020-04-02 04:00:00+00:00,22.75,23.44,22.08,22.86,1738500.0,15996.0,22.621417
JBL,2020-04-03 04:00:00+00:00,22.69,22.96,21.94,22.39,1935160.0,15641.0,22.388674
JBL,2020-04-06 04:00:00+00:00,23.73,25.02,23.34,24.45,1478375.0,14484.0,24.253295
JBL,2020-04-07 04:00:00+00:00,25.73,26.19,24.73,24.76,1504568.0,15181.0,25.312594
JBL,2020-04-08 04:00:00+00:00,25.15,26.34,24.69,25.97,1165092.0,11869.0,25.845829
JBL,2020-04-09 04:00:00+00:00,26.47,27.29,26.01,26.41,1651500.0,16962.0,26.621754
JBL,2020-04-13 04:00:00+00:00,26.18,26.18,25.11,25.53,1655771.0,11557.0,25.516236
JBL,2020-04-14 04:00:00+00:00,26.1,26.9,25.72,26.2,1539320.0,13149.0,26.216853
JBL,2020-04-15 04:00:00+00:00,25.0,25.22,24.28,24.44,2338128.0,14737.0,24.575873
JBL,2020-04-16 04:00:00+00:00,24.56,24.79,23.63,24.61,1571626.0,11354.0,24.320144
JBL,2020-04-17 04:00:00+00:00,25.19,26.31,25.0,25.85,2333811.0,16782.0,25.58758
JBL,2020-04-20 04:00:00+00:00,25.18,25.5972,24.14,24.41,1684049.0,17734.0,24.734501
JBL,2020-04-21 04:00:00+00:00,23.68,23.81,23.05,23.33,2054002.0,19364.0,23.389098
JBL,2020-04-22 04:00:00+00:00,24.17,24.33,23.73,23.96,1050096.0,9793.0,23.922312
JBL,2020-04-23 04:00:00+00:00,24.34,25.14,24.1,24.72,1347085.0,10317.0,24.748802
JBL,2020-04-24 04:00:00+00:00,24.95,25.26,24.7,25.12,1655973.0,10192.0,25.058419
JBL,2020-04-27 04:00:00+00:00,25.36,26.69,25.32,26.49,1138588.0,8379.0,26.271644
JBL,2020-04-28 04:00:00+00:00,27.44,27.6,26.41,26.85,1062983.0,8044.0,26.978082
JBL,2020-04-29 04:00:00+00:00,27.86,29.4,27.36,29.35,1437392.0,12764.0,28.913809
JBL,2020-04-30 04:00:00+00:00,28.72,29.0,28.15,28.44,2031070.0,13963.0,28.485393
JBL,2020-05-01 04:00:00+00:00,27.49,27.49,26.33,26.58,1243319.0,9725.0,26.616104
JBL,2020-05-04 04:00:00+00:00,26.23,26.77,25.8536,26.12,948472.0,8289.0,26.168115
JBL,2020-05-05 04:00:00+00:00,26.3,26.99,26.25,26.25,895544.0,8678.0,26.45905
JBL,2020-05-06 04:00:00+00:00,26.56,26.68,26.01,26.2,835181.0,7597.0,26.296389
JBL,2020-05-07 04:00:00+00:00,26.52,26.885,26.43,26.78,924789.0,7940.0,26.647455
JBL,2020-05-08 04:00:00+00:00,27.35,28.51,27.31,28.47,1143707.0,9656.0,28.167083
JBL,2020-05-11 04:00:00+00:00,27.95,28.13,27.41,27.66,1699806.0,9442.0,27.737455
JBL,2020-05-12 04:00:00+00:00,27.97,28.57,27.73,27.74,1749865.0,14724.0,28.027532
